uid, hardware version, product type, total ports, optical ports, ether ports, manage port, view2physcial map
53-20-01-05-01-01-00-00,GE-Z20208D_v1.00-01,JW-SE20-GF1E4-DL,5,1,4,9,MC:0:9-GF:0:10-ME:0:6-ME:0:7-ME:0:4-ME:0:5
53-20-01-09-01-02-00-00,GE-Z20208D_v1.00-02,JW-SE20-GF1E8-DL,9,1,8,9,MC:0:9-GF:0:10-ME:0:6-ME:0:7-ME:0:4-ME:0:5-ME:0:2-ME:0:3-ME:0:0-ME:0:1
53-20-01-06-01-0F-00-00,GE-Z20208D_v1.00-0F,JW-SE20-GF2E4-DL,6,2,4,9,MC:0:9-GF:0:10-GF:0:8-ME:0:6-ME:0:7-ME:0:4-ME:0:5
53-20-01-0A-01-10-00-00,GE-Z20208D_v1.00-10,JW-SE20-GF2E8-DL,10,2,8,9,MC:0:9-GF:0:10-GF:0:8-ME:0:6-ME:0:7-ME:0:4-ME:0:5-ME:0:2-ME:0:3-ME:0:0-ME:0:1
53-20-01-06-01-1B-00-00,GE-Z20208D_v1.00-1B,JW-SE20-GF2E4-DL-P,6,2,4,9,MC:0:9-GF:0:10-GF:0:8-ME:0:6-ME:0:7-ME:0:4-ME:0:5
53-20-01-0A-01-1C-00-00,GE-Z20208D_v1.00-1C,JW-SE20-GF2E8-DL-P,10,2,8,9,MC:0:9-GF:0:10-GF:0:8-ME:0:6-ME:0:7-ME:0:4-ME:0:5-ME:0:2-ME:0:3-ME:0:0-ME:0:1

53-20-01-0A-02-01-00-00,GE-Z20505D_v1.00-01,JW-SE20-GF1F4GE1E4-DL,10,5,5,9  ,MC:0:9-GF:0:10-GE:0:8-MF:0:6-MF:0:7-MF:0:4-MF:0:5-ME:0:2-ME:0:3-ME:0:0-ME:0:1

53-20-01-05-04-01-00-00,GE-Z20204A_v1.10-01,JW-SE20-GF1GE1E3-DL,5,1,4,2,MC:0:2-GF:0:10-GE:0:9-ME:0:7-ME:0:6-ME:0:5
53-20-01-06-04-02-00-00,GE-Z20204A_v1.10-02,JW-SE20-GF2GE1E3-DL,6,2,4,2,MC:0:2-GF:0:10-GF:0:8-GE:0:9-ME:0:7-ME:0:6-ME:0:5
53-20-01-09-04-03-00-00,GE-Z20204A_v1.10-03,JW-SE20-GF1GE1E7-DL,9,1,8,2,MC:0:2-GF:0:10-GE:0:9-ME:0:7-ME:0:6-ME:0:5-ME:0:0-ME:0:1-ME:0:3-ME:0:4
53-20-01-0A-04-04-00-00,GE-Z20204A_v1.10-04,JW-SE20-GF2GE1E7-DL,10,2,8,2,MC:0:2-GF:0:10-GF:0:8-GE:0:9-ME:0:7-ME:0:6-ME:0:5-ME:0:0-ME:0:1-ME:0:3-ME:0:4

53-20-01-0C-06-01-00-00,GE-Z20210D_v1.00-01,JW-SE20-GF2E8-DL,10,2,8,9,MC:0:9-GD:0:8-GD:0:10-ME:0:6-ME:0:7-ME:0:4-ME:0:5-ME:0:2-ME:0:3-ME:0:0-ME:0:1
53-20-01-08-06-01-00-00,GE-Z20210D_v1.00-02,JW-SE20-GF2E4-DL,6,2,4,9,MC:0:9-GD:0:8-GD:0:10-ME:0:6-ME:0:7-ME:0:4-ME:0:5

54-10-01-06-01-01-00-00,GD-SDI1000M_v1.10-01,OB9331DTA(G1.E4),5,0,5,9,MC:0:9-GE:0:8-ME:0:0-ME:0:1-ME:0:2-ME:0:3
54-20-01-06-01-02-00-00,GD-SDI1000M_v1.10-02,OB9331DRA(G1.E4),5,0,5,9,MC:0:9-GE:0:8-ME:0:0-ME:0:1-ME:0:2-ME:0:3
